学科名称,排名,论文数,引用次数,每篇论文引用次数
AGRICULTURAL SCIENCES,845,346,6513,18.820
BIOLOGY & BIOCHEMISTRY,721,897,20837,23.230
CHEMISTRY,90,5420,164390,30.330
CLINICAL MEDICINE,2852,940,16875,17.950
COMPUTER SCIENCE,207,1803,22336,12.390
ENGINEERING,317,2567,55450,21.600
ENVIRONMENT ECOLOGY,130,2941,92088,31.310
GEOSCIENCES,275,1850,42158,22.790
MATERIALS SCIENCE,196,2720,93969,34.550
MATHEMATICS,115,2019,11984,5.940
MOLECULAR BIOLOGY & GENETICS,867,532,20568,38.660
NEUROSCIENCE & BEHAVIOR,853,771,14295,18.540
PHARMACOLOGY & TOXICOLOGY,1064,289,5693,19.700
PHYSICS,522,3495,50802,14.540
PLANT & ANIMAL SCIENCE,395,1375,21843,15.890
PSYCHIATRY PSYCHOLOGY,467,1460,15243,10.440
"SOCIAL SCIENCES, GENERAL",314,2176,27524,12.650
