学科名称,最高排名,进入前10名机构数,进入前50名机构数,进入前100名机构数,上榜机构总数,总论文数,总引用次数,中国平均每篇论文引用次数,全球平均每篇论文引用次数
MATERIALS SCIENCE,1,6,32,48,375,1119272,32354021,26.398,25.797
CHEMISTRY,1,4,27,46,423,1249235,30165345,21.433,21.066
ENGINEERING,1,5,29,46,534,1503716,24966306,17.136,17.000
COMPUTER SCIENCE,1,5,25,44,190,325041,5330017,17.074,17.468
PHARMACOLOGY & TOXICOLOGY,4,1,17,29,182,217471,3502876,16.147,19.142
MATHEMATICS,4,1,7,24,86,124005,942827,8.200,7.796
AGRICULTURAL SCIENCES,1,6,15,22,251,274214,5080975,17.751,18.881
GEOSCIENCES,1,3,12,22,177,475790,8302420,17.911,23.465
ENVIRONMENT ECOLOGY,1,3,9,14,337,489374,11317663,22.544,26.355
PLANT & ANIMAL SCIENCE,1,3,8,13,248,313104,5066265,16.085,16.400
MICROBIOLOGY,3,1,4,11,92,81415,1672848,24.363,27.517
PHYSICS,1,1,7,10,112,551518,9516603,16.605,28.120
MOLECULAR BIOLOGY & GENETICS,13,0,2,9,115,232132,6896738,31.064,55.937
BIOLOGY & BIOCHEMISTRY,3,1,3,8,206,310748,6218009,20.904,29.169
ECONOMICS & BUSINESS,44,0,2,8,55,62617,988422,16.009,19.127
MULTIDISCIPLINARY,3,1,3,5,17,2665,134168,70.386,59.323
IMMUNOLOGY,36,0,1,4,84,80843,1681473,24.727,30.145
CLINICAL MEDICINE,75,0,0,3,259,972240,16535599,26.103,95.240
SPACE SCIENCE,15,0,1,2,10,45825,993908,23.747,43.498
NEUROSCIENCE & BEHAVIOR,71,0,0,2,71,115210,2180233,18.971,30.806
"SOCIAL SCIENCES, GENERAL",47,0,1,1,180,131047,1897518,14.874,13.698
PSYCHIATRY PSYCHOLOGY,154,0,0,0,57,55865,711797,12.982,18.768
